"","VALUE","Freq","EVT_NAME","LFRDB","EVT_FUEL","EVT_FUEL_N","EVT_LF","EVT_PHYS","EVT_GP","EVT_GP_N","SAF_SRM","EVT_ORDER","EVT_CLASS","EVT_SBCLS","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",7010,168,"Northern Rocky Mountain Western Larch Savanna",7010,2010,"Tr Northern Rocky Mountain Western Larch Savanna","Tree","Conifer",644,"Western Larch Forest and Woodland","SAF 212: Western Larch","Tree-dominated","Open tree canopy","Deciduous open tree canopy",180,255,148,0.705882,1,0.580392,37,0
"2",7011,4520,"Rocky Mountain Aspen Forest and Woodland",7011,2011,"Tr Rocky Mountain Aspen Forest and Woodland","Tree","Hardwood",602,"Aspen Forest, Woodland, and Parkland","SAF 217: Aspen","Tree-dominated","Open tree canopy","Deciduous open tree canopy",192,255,138,0.752941,1,0.541176,1005,0.5
"3",7045,301526,"Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest",7045,2045,"Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest","Tree","Conifer",625,"Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland","SAF 210: Interior Douglas-Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",0,51,0,0,0.2,0,67058,30.5
"4",7047,54502,"Northern Rocky Mountain Mesic Montane Mixed Conifer Forest",7047,2047,"Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest","Tree","Conifer",643,"Douglas-fir-Grand Fir-White Fir Forest and Woodland","SAF 213: Grand Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",96,255,71,0.376471,1,0.278431,12121,5.5
"5",7050,1708,"Rocky Mountain Lodgepole Pine Forest",7050,2050,"Tr Rocky Mountain Lodgepole Pine Forest","Tree","Conifer",622,"Lodgepole Pine Forest and Woodland","SAF 218: Lodgepole Pine","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",163,240,219,0.639216,0.941176,0.858824,380,0.2
"6",7053,119375,"Northern Rocky Mountain Ponderosa Pine Woodland and Savanna",7053,2053,"Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna","Tree","Conifer",631,"Ponderosa Pine Forest, Woodland and Savanna","SAF 237: Interior Ponderosa Pine","Tree-dominated","Open tree canopy","Evergreen open tree canopy",214,255,181,0.839216,1,0.709804,26548,12.1
"7",7055,3414,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",7055,2055,"Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Tree","Conifer",639,"Spruce-Fir Forest and Woodland","SAF 206: Engelmann Spruce-Subalpine Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",236,252,204,0.92549,0.988235,0.8,759,0.3
"8",7056,5617,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",7056,2056,"Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Tree","Conifer",639,"Spruce-Fir Forest and Woodland","SAF 206: Engelmann Spruce-Subalpine Fir","Tree-dominated","Closed tree canopy","Evergreen closed tree canopy",236,252,204,0.92549,0.988235,0.8,1249,0.6
"9",7062,546,"Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland",7062,2062,"Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland","Tree","Conifer",628,"Mountain Mahogany Woodland and Shrubland","SRM 415: Curlleaf Mountain-Mahogany","Tree-dominated","Open tree canopy","Evergreen open tree canopy",155,235,216,0.607843,0.921569,0.847059,121,0.1
"10",7065,4572,"Columbia Plateau Scabland Shrubland",7065,2065,"Sh Columbia Plateau Scabland Shrubland","Shrub","Shrubland",613,"Desert Scrub","SRM 106: Bluegrass Scabland","Shrub-dominated","Dwarf-shrubland","Evergreen dwarf-shrubland",199,176,129,0.780392,0.690196,0.505882,1017,0.5
