"","VALUE","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"59",209,36894,104787172,"Shrub Height = 0.9 meter",224,206,161,0.878431373,0.807843137,0.631372549,8205,3.7
"60",210,16274,43505615,"Shrub Height = 1 meter",222,204,156,0.870588235,0.8,0.611764706,3619,1.6
"61",211,11004,60993359,"Shrub Height = 1.1 meters",220,201,151,0.862745098,0.788235294,0.592156863,2447,1.1
"62",212,10885,38607461,"Shrub Height = 1.2 meters",216,197,145,0.847058824,0.77254902,0.568627451,2421,1.1
"63",213,7211,22507662,"Shrub Height = 1.3 meters",201,183,135,0.788235294,0.717647059,0.529411765,1604,0.7
"64",214,8956,20687096,"Shrub Height = 1.4 meters",186,170,125,0.729411765,0.666666667,0.490196078,1992,0.9
"65",215,3674,16605241,"Shrub Height = 1.5 meters",171,156,115,0.670588235,0.611764706,0.450980392,817,0.4
"66",216,3453,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,768,0.3
"67",217,845,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,188,0.1
"68",218,619,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,138,0.1
"69",219,280,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,62,0
"70",220,440,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,98,0
"71",221,13,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,3,0
"72",222,12,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,3,0
"73",223,2,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,0,0
"74",224,1,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,0,0
"75",302,182913,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,40679,18.5
"76",303,24874,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,5532,2.5
"77",304,14598,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,3247,1.5
"78",305,6249,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,1390,0.6
"79",306,1865,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,415,0.2
"80",307,66,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,15,0
